category,strategy,solver,n_iters,converged,wall_time,final_pos_err_mm,final_orient_err_deg
general,cold,DLS,300,False,0.939633846282959,43.378433,0.3689942955970764
general,cold,DLS,11,True,0.0352022647857666,3.6248333,0.05971966311335564
general,cold,DLS,16,True,0.0482640266418457,4.3893986,0.07494083791971207
general,cold,DLS,38,True,0.13611435890197754,4.862374,0.0
general,cold,DLS,65,True,0.19543123245239258,4.7840004,0.05753667652606964
general,cold,DLS,30,True,0.08896017074584961,4.7862277,0.037317633628845215
general,cold,DLS,28,True,0.08457565307617188,4.449185,0.04139609634876251
general,cold,DLS,26,True,0.08110570907592773,4.3739777,0.092155821621418
general,cold,DLS,41,True,0.13831233978271484,4.801122,0.0
general,cold,DLS,14,True,0.04596376419067383,3.8228757,0.05041748285293579
general,cold,DLS,9,True,0.031225919723510742,4.863213,0.05195605754852295
general,cold,DLS,35,True,0.10588526725769043,4.9479914,0.0
general,cold,DLS,113,True,0.3531980514526367,4.97635,0.05733541399240494
general,cold,DLS,17,True,0.0586855411529541,4.4803114,0.05229191854596138
general,cold,DLS,96,True,0.2991464138031006,4.892986,0.2542535662651062
general,cold,DLS,300,False,1.0629844665527344,50.067688,0.5127457976341248
general,cold,DLS,47,True,0.14434456825256348,4.861167,0.0568980947136879
general,cold,DLS,24,True,0.07797670364379883,4.66602,0.19876320660114288
general,cold,DLS,300,False,0.9096426963806152,203.62259,17.368078231811523
general,cold,DLS,300,False,0.9336864948272705,184.16232,5.159397602081299
general,cold,DLS,25,True,0.08043813705444336,4.626919,0.08098236471414566
general,cold,DLS,12,True,0.036788225173950195,4.271536,0.08588030934333801
general,cold,DLS,17,True,0.05486297607421875,4.808042,0.06488962471485138
general,cold,DLS,184,True,0.5710346698760986,4.5557575,0.08293654024600983
general,cold,DLS,300,False,0.9480326175689697,336.0853,42.1250114440918
general,cold,DLS,18,True,0.055806875228881836,3.5785685,0.07116501033306122
general,cold,DLS,31,True,0.09448671340942383,4.7672205,0.0
general,cold,DLS,34,True,0.10947394371032715,4.658716,0.040460359305143356
general,cold,DLS,300,False,1.0290372371673584,147.44691,2.6956429481506348
general,cold,DLS,18,True,0.0603785514831543,4.9807,0.08793534338474274
general,cold,DLS,35,True,0.1025228500366211,4.76456,0.053973861038684845
general,cold,DLS,11,True,0.03253507614135742,3.3588047,0.03508610278367996
general,cold,DLS,300,False,1.0189592838287354,23.154638,0.23697932064533234
general,cold,DLS,300,False,1.0141754150390625,11.7011595,2.7805516719818115
general,cold,DLS,62,True,0.2055339813232422,4.932483,0.24198710918426514
general,cold,DLS,21,True,0.07047319412231445,4.977556,0.0
general,cold,DLS,9,True,0.027936220169067383,2.9857485,0.0626339390873909
general,cold,DLS,130,True,0.4218723773956299,4.906557,0.0
general,cold,DLS,47,True,0.15705657005310059,4.6615877,0.05562061071395874
general,cold,DLS,60,True,0.17940402030944824,4.695283,0.0
general,cold,DLS,56,True,0.16777396202087402,4.8237343,0.0
